ISSN,Titulo,Area de Avaliacao,Estrato,Quadrienio
0000-0002,COMPARATIVE LITERATURE AND TRANSCULTURAL STUDIES,LINGUíSTICA E LITERATURA,C,2017-2020
0000-000X,"DISCOVERY TOOLS, A BIBLIOGRAPHY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B3,2017-2020
0000-1234,E-MOSAICOS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,B2,2017-2020
0001-0782,COMMUNICATIONS OF THE ACM,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
0001-1452,AIAA JOURNAL (PRINT),ENGENHARIAS III,A2,2017-2020
0001-1541,AICHE JOURNAL,CIÊNCIA DE ALIMENTOS,A1,2017-2020
0001-2092,AORN JOURNAL,ENSINO,A2,2017-2020
0001-2343,ARSP. ARCHIV FÜR RECHTS UND SOZIALPHILOSOPHIE,DIREITO,A1,2017-2020
0001-2491,ASHRAE JOURNAL,ENGENHARIAS III,B3,2017-2020
0001-2998,SEMINARS IN NUCLEAR MEDICINE,MEDICINA I,A1,2017-2020
0001-3072,ABACUS (SYDNEY. PRINT),MEDICINA III,A2,2017-2020
0001-3765,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS,ENSINO,A2,2017-2020
0001-3838,BOLETIM DA ACADEMIA NACIONAL DE MEDICINA,ENFERMAGEM,B4,2017-2020
0001-4079,BULLETIN DE L' ACADEMIE NATIONALE DE MEDECINE,CIÊNCIAS BIOLÓGICAS I,B3,2017-2020
0001-4265,ACADEMY OF GENERAL DENTISTRY,ODONTOLOGIA,B2,2017-2020
0001-4273,ACADEMY OF MANAGEMENT JOURNAL,ENGENHARIAS III,A1,2017-2020
0001-4346,MATHEMATICAL NOTES,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B1,2017-2020
0001-4575,ACCIDENT ANALYSIS AND PREVENTION,ECONOMIA,A1,2017-2020
0001-4842,ACCOUNTS OF CHEMICAL RESEARCH,INTERDISCIPLINAR,A1,2017-2020
0001-4966,THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,ENGENHARIAS IV,A2,2017-2020
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA,ENGENHARIAS IV,A2,2017-2020
0001-5202,ACTA ARACHNOLOGICA,BIODIVERSIDADE,B3,2017-2020
0001-5237,ACTA ASTRONOMICA,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",A1,2017-2020
0001-527X,ACTA BIOCHIMICA POLONICA,QUÍMICA,A4,2017-2020
0001-5342,ACTA BIOTHEORETICA,CIÊNCIAS BIOLÓGICAS II,A1,2017-2020
0001-5385,ACTA CARDIOLOGICA (IMPRIMÉ),"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",B2,2017-2020
0001-5547,ACTA CYTOLOGICA,CIÊNCIAS BIOLÓGICAS I,B1,2017-2020
0001-5555,ACTA DERMATO-VENEREOLOGICA,ODONTOLOGIA,A1,2017-2020
0001-5652,HUMAN HEREDITY. INTERNATIONAL JOURNAL OF HUMAN AND MEDICAL GENETICS,SAÚDE COLETIVA,B3,2017-2020
0001-5709,ACTA GEOLOGICA POLONICA,GEOCIÊNCIAS,A4,2017-2020
0001-5733,DÌQIÚ WÙLIXUÉ BÀO / ACTA GEOPHYSICA SINICA,ENGENHARIAS I,B1,2017-2020
0001-5792,ACTA HAEMATOLOGICA,FARMÁCIA,B3,2017-2020
0001-5903,ACTA INFORMATICA,ENGENHARIAS IV,A2,2017-2020
0001-5962,ACTA MATHEMATICA,ENGENHARIAS III,A1,2017-2020
0001-5970,ACTA MECHANICA,ENGENHARIAS III,A2,2017-2020
0001-6012,ACTA MEDICA COSTARRICENSE,MEDICINA II,C,2017-2020
0001-625X,ACTA MYCOLOGICA,CIÊNCIAS AGRÁRIAS I,B2,2017-2020
0001-6268,ACTA NEUROCHIRURGICA,MEDICINA I,A4,2017-2020
0001-6314,ACTA NEUROLOGICA SCANDINAVICA,ENFERMAGEM,A3,2017-2020
0001-6322,ACTA NEUROPATHOLOGICA,CIÊNCIAS BIOLÓGICAS II,A1,2017-2020
0001-6349,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
