referencia,coordenador,financiadora,tipo,ano,aprovado,executado,pesquisa
12 - Apoio e Fortalecimento do Mestrado Profissional em Educ,DANIELLE PIONTKOVSKY,"Conselho Nacional das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica - CONIF",Pesquisa e Ensino,2016,1256355.65,1864983.35,True
197 - PROFEPT 2021,DANIELLE PIONTKOVSKY,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2022,1452455.0,0.0,False
212 - Projeto de Estruturação das Unidades educativas de pro,Marcus Vinicius Sandoval Paixão,Instituto Federal de Educação Ciência e Tecnologia do Espirito Santo - Campus Santa Teresa,Extensão,2022,1500000.0,0.0,False
213 - PROFEPT 2022,DANIELLE PIONTKOVSKY,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Processo Seletivo,2022,3276000.0,0.0,False
219 - Planejamento e Gestão da implantação do Campus Preside,Marcelo Tedoldi Machado,Municipio de Presidente Kennedy,Extensão,2022,1554481.05,0.0,False
225 - Projeto Manutenção do Centro de Recondicionamento de C,Flávio Félix Medeiros,"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul - IFMS",Extensão,2023,1514038.8,0.0,False
226 - Projeto UNIDADE AUTOMÁTICA DE PRODUÇÃO DE RAÇÕES HIDRO,Volnei Luiz Meneghetti,ZAMPRONIO INDÚSTRIA DE CLASSIFICADORES DE SEMENTES LTDA,Inovação,2022,112694.74,56422.95,True
227 - Projeto de execução do Programa de Pesquisa & Desenvol,Aldemar Polonini Moreli,VIOLA AGROPECUÁRIA LTDA,"Pesquisa, Desenvolvimento e Inovação",2023,484700.0,203208.75,True
229 - Implantação e avaliação econômica e ambiental de siste,GABRIELE SAUDE VIANA,BANCO DE DESENVOLVIMENTO DO ESPÍRITO SANTO S.A.,Extensão,2023,46819.41,0.0,False
"231 - Indicadores produtivos, fisiológicos, sanitários e com",JONAS SPONCHIADO,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FARROUPILHA",Pesquisa,2023,862735.51,290036.39,True
232 - Concursos IFES TAE e DOC 2023,Guilherme Augusto da Silva Souza,Instituto Federal De Educação Ciencia E Tecnologia Do Espirito Santo - Reitoria,Concurso Público,2023,1784187.39,0.0,False
"238 - Education Modernization Brazil, Colombia, Europe - the",Marize Lyra Silva Passos,Häme University of Applied Sciences,Pesquisa,2023,569614.61,548475.42,True
