ano,artigos,fapes_orcamento,na_janela_padrao
1999,2,0,False
2000,2,0,False
2001,4,0,False
2002,3,0,False
2003,5,0,False
2004,6,0,False
2005,2,0,False
2006,6,0,False
2007,3,0,False
2008,3,0,False
2009,9,0,False
2010,7,0,False
2011,13,0,False
2012,9,0,False
2013,23,0,False
2014,25,0,False
2015,32,143950.0,True
2016,24,234019.0,True
2017,38,55450.0,True
2018,23,3281966.0,True
2019,30,612800.0,True
2020,32,582325.0,True
2021,39,5777094.36,True
2022,46,6335691.0,True
2023,58,18519265.0,True
2024,40,2958600.47,True
2025,47,3952413.0,True
2026,18,6094400.0,True
